molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_units,standard_value,pchembl_value,document_chembl_id,data_validity_comment
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL289813,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43736,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,IC50,=,nM,30.0,7.52,CHEMBL1133534,
CHEMBL44194,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44290,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44464,COC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1,IC50,,nM,,,CHEMBL1130038,
CHEMBL288773,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44068,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44367,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL297409,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43737,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43511,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,=,nM,10500.0,4.98,CHEMBL1130038,
CHEMBL290608,CCN(CC)OC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1,IC50,,nM,,,CHEMBL1130038,
CHEMBL42801,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,IC50,=,nM,13200.0,4.88,CHEMBL1134352,
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,=,nM,800.0,6.10,CHEMBL1130038,
CHEMBL43210,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL298231,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44101,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44152,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43664,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,IC50,=,nM,25000.0,4.60,CHEMBL1130038,
CHEMBL43664,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,IC50,=,nM,1000.0,6.00,CHEMBL1130038,
CHEMBL40891,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc([S+](C)[O-])cc1,IC50,,nM,,,CHEMBL1130038,
CHEMBL298208,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43002,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL42121,CCS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL42409,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1130038,
CHEMBL43957,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43366,Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL296307,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43864,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44244,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL442349,CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1,IC50,,nM,,,CHEMBL1130038,
CHEMBL44313,Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,30000.0,,CHEMBL1130038,
CHEMBL44362,Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL42085,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43647,Cc1c(C(Oc2cccc(Cl)c2)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL143776,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,IC50,=,nM,1.0,9.00,CHEMBL1133534,
CHEMBL297820,CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL42120,O=S(=O)(c1ccccc1)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL298079,COc1ccc(-c2ccc(C)n2-c2ccc(C(C)=O)cc2)cc1,IC50,,nM,,,CHEMBL1130038,
CHEMBL44283,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,=,nM,4500.0,5.35,CHEMBL1130038,
CHEMBL44038,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL298281,CNS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL43863,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL294971,CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44447,CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)n2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL288570,CS(=O)(=O)c1cccc(-n2cccc2-c2ccc(F)cc2)c1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL44421,CN(C)S(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,IC50,>,nM,100000.0,,CHEMBL1130038,
CHEMBL91832,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,=,nM,370.0,6.43,CHEMBL1129773,
CHEMBL91118,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,IC50,=,nM,540.0,6.27,CHEMBL1129773,
CHEMBL92443,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,IC50,=,nM,120.0,6.92,CHEMBL1129773,
CHEMBL19286,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,=,nM,51000.0,4.29,CHEMBL1147594,
CHEMBL19286,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,=,nM,4700.0,5.33,CHEMBL1147594,
CHEMBL328003,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,IC50,=,nM,4400.0,5.36,CHEMBL1129773,
CHEMBL420987,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,=,nM,2000.0,5.70,CHEMBL1129773,
CHEMBL416542,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,IC50,>,nM,25000.0,,CHEMBL1147594,
CHEMBL416542,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,IC50,=,nM,1900.0,5.72,CHEMBL1147594,
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,=,nM,18800.0,4.73,CHEMBL1147594,
CHEMBL330516,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,IC50,=,nM,34000.0,4.47,CHEMBL1129773,
CHEMBL42485,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,IC50,=,nM,59.0,7.23,CHEMBL1129773,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,3.0,8.52,CHEMBL1136052,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,230.0,6.64,CHEMBL1136052,
CHEMBL92154,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,IC50,=,nM,140.0,6.85,CHEMBL1129773,
CHEMBL328521,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)C1O,IC50,=,nM,45000.0,4.35,CHEMBL1129773,
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,=,nM,2000.0,5.70,CHEMBL1136052,
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,=,nM,26400.0,4.58,CHEMBL1136052,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,39.0,7.41,CHEMBL1129773,
CHEMBL93803,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)CC2)cc1,IC50,,nM,,,CHEMBL1129773,
CHEMBL19299,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,IC50,>,nM,100000.0,,CHEMBL1147594,
CHEMBL19299,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,IC50,=,nM,6500.0,5.19,CHEMBL1147594,
CHEMBL441414,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,=,nM,500.0,6.30,CHEMBL1147594,
CHEMBL441414,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,=,nM,280.0,6.55,CHEMBL1147594,
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,>,nM,10000.0,,CHEMBL1136052,
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,=,nM,28700.0,4.54,CHEMBL1136052,
CHEMBL417452,C[C@@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,>,nM,100000.0,,CHEMBL1147594,
CHEMBL417452,C[C@@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,IC50,=,nM,20200.0,4.70,CHEMBL1147594,
CHEMBL92485,CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,IC50,=,nM,2000.0,5.70,CHEMBL1129773,
CHEMBL90988,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,IC50,=,nM,500.0,6.30,CHEMBL1129773,
CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,IC50,>,nM,100000.0,,CHEMBL1147594,
CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,IC50,=,nM,15300.0,4.82,CHEMBL1147594,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,110.0,6.96,CHEMBL1147594,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,190.0,6.72,CHEMBL1147594,
CHEMBL18883,C[C@@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,>,nM,100000.0,,CHEMBL1147594,
CHEMBL18883,C[C@@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,>,nM,25000.0,,CHEMBL1147594,
CHEMBL347187,COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL154839,COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL119001,CS(=O)(=O)c1ccc(-c2cnc(CF)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324509,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL422530,O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL347267,O=C(NNc1ccc(Cl)cc1)c1ccccc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL119002,CS(=O)(=O)c1ccc(-c2cnc(CO)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL331148,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL333084,CC(C)Oc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324700,CCS(=O)(=O)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL117708,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL156533,CS(=O)(=O)c1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCC3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL333170,CCc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL116343,Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL156256,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,IC50,=,nM,10000.0,5.00,CHEMBL1133431,
CHEMBL155887,COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,IC50,=,nM,10000.0,5.00,CHEMBL1133431,
CHEMBL326577,CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324957,Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL117528,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,IC50,=,nM,110.0,6.96,CHEMBL1145864,
CHEMBL324312,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,=,nM,2200.0,5.66,CHEMBL1145864,
CHEMBL418859,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL115864,CS(=O)(=O)c1ccc(-n2c(CO)nc(Cl)c2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL325437,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL116252,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2Cl)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL154373,Cc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL347945,Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCC3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL116365,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccncc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL325894,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)CCO3)cc1,IC50,=,nM,110.0,6.96,CHEMBL1145864,
CHEMBL346470,O=C(NNc1ccccc1)c1ccc(Cl)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL327150,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL420869,CCN(CC)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324841,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc3ccccc3o2)cc1,IC50,>,nM,1000.0,,CHEMBL1145864,
CHEMBL419407,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(Cl)cc(Cl)c2)cc1,IC50,=,nM,600.0,6.22,CHEMBL1145864,
CHEMBL116683,COc1cc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)ccc1F,IC50,>,nM,1000.0,,CHEMBL1145864,
CHEMBL155806,COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(NOC(C)=O)C3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL346258,COc1ccc(C(=O)NNc2ccccc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL331278,CS(=O)(=O)c1ccc(-c2cnc(C(=O)c3ccccc3)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL117650,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1,IC50,=,nM,100000.0,4.00,CHEMBL1145864,
CHEMBL117852,CCCc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL155675,COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL116199,Cc1nc(Cl)c(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL115410,CSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,=,nM,900.0,6.05,CHEMBL1145864,
CHEMBL118962,CCOc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,IC50,=,nM,10800.0,4.97,CHEMBL1145864,
CHEMBL347688,COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(F)C3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL442018,CCCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL118081,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1C,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324580,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(F)cc(F)c2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL346697,COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(N(O)C(C)=O)C3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL347198,COc1ccc(NNC(=O)c2ccccc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL117491,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccnc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL118064,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,IC50,=,nM,5100.0,5.29,CHEMBL1145864,
CHEMBL117146,CS(=O)(=O)c1ccc(-c2cnc(C#N)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL348390,c1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,IC50,=,nM,120.0,6.92,CHEMBL1133431,
CHEMBL157129,COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(O)C3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL326097,COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1C,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324275,CC1Cc2cc(-c3c(Cl)ncn3-c3ccc(S(C)(=O)=O)cc3)ccc2O1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL157616,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,IC50,=,nM,10000.0,5.00,CHEMBL1133431,
CHEMBL324093,CS(=O)(=O)c1ccc(-c2cnc(Br)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL115458,COC(=O)c1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL325298,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL114162,CS(=O)(=O)c1ccc(-c2cncn2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL117295,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL155185,CS(=O)(=O)c1ccc(-n2nc(-c3ccc(F)cc3)c3c2CCCC3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL325297,CS(=O)(=O)c1ccc(-n2c(-c3ccc(F)cc3)cnc2C(=O)c2ccccc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL117618,CS(=O)(=O)c1ccc(-n2c(-c3ccc(F)cc3)cnc2CO)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL119852,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(F)c2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL332725,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324823,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2O)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL157950,Cc1ccc(NNC(=O)c2ccccc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL116933,CS(=O)(=O)c1ccc(-n2c(Cl)nc(Cl)c2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,=,nM,2.0,8.70,CHEMBL1145864,
CHEMBL114783,CS(=O)(=O)c1ccc(-c2cnc(Cl)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324472,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OC(F)(F)F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL433892,c1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,IC50,=,nM,490.0,6.31,CHEMBL1133431,
CHEMBL155658,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,IC50,=,nM,1000.0,6.00,CHEMBL1133431,
CHEMBL154589,Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL119076,CCCCCc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,=,nM,5100.0,5.29,CHEMBL1145864,
CHEMBL118936,CS(=O)(=O)c1ccc(-c2cnc(C=O)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL324042,Cc1nc(Cl)n(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL155436,CS(=O)(=O)c1ccc(NNC(=O)c2ccccc2)cc1,IC50,>,nM,10000.0,,CHEMBL1133431,
CHEMBL118067,CCOc1cc(OCC)cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL115905,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(Br)co2)cc1,IC50,>,nM,1000.0,,CHEMBL1145864,
CHEMBL117306,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
CHEMBL333755,CS(=O)(=O)c1ccc(-c2c(Cl)nc(Cl)n2-c2ccc(F)cc2)cc1,IC50,>,nM,10000.0,,CHEMBL1145864,
